filename,text,total
3d5ceee19c,छन् जसलाई अहिलेको,17
143b98579d,यत्रो धेरै योगदान,17
1071807120,गर्नुका साथै सोही,17
0b9817930b,हामी सहभागी हुँदै,17
42033cde2c,तथा साँढेको आकृति,17
139d252dd1,साहित्य सम्मेलनमा,17
41ee2dcb87,हाम्रा थुप्रै आशा,17
e61504aac4,गेस्चर्सको सुविधा,17
144a52e133,ठाउँमा समेत सजिलै,17
9ea0750468,प्रतिशत देखाएको छ,17
be90513961,कृतिहरू छन्दोबद्ध,17
0dc7bb4341,फूलको लागि पानीको,17
3c69db50b0,अर्को विधि महत्तम,17
ee68ad773f,सुरू गर्दा नेपाली,17
3d575d2af0,मिश्रित जातिहरूको,17
ee5d51cddf,सङ्ख्या करिव साढे,17
4649fc8bec,पुग्न एउटा गोरेटो,17
fcb9f818ce,एक महिनापछि मात्र,17
fd184616a6,ठाउँ र भाषाभाषीको,17
fd154b9e67,आक्रमण गरेको थियो,17
8f134ee581,उनी परशुराम कहलाए,17
463cab9cce,आकृती बनाएको थियो,17
9e6f74f9a7,बाटो उकालो गाह्रो,17
4629912e2a,बाँचे जसको मृत्यु,17
8f3c56ceee,तपाईँलाई दिएको छु,17
9cda2d1ed3,यसको जानकारी थिएन,17
3c58a65265,खुसी बनाउनका लागि,17
9ce051611b,सरकारी दमनका कारण,17
8f12674f1d,दिइएका थिए र उनको,17
13998f034b,बनाई निजी स्तरबाट,17
ee5cee00a9,पाकिसकेपछि रातो र,17
9e6f88706f,भएको कुरा लेखिएको,17
3c4a37d0df,अर्थात् आठ वर्षको,17
462aa95f8f,र मांसपेशी दुखेको,17
13a473de4f,इस्टकोटलाई इस्कोट,17
0dd3ec2af0,नि उपसर्ग लागेपछि,17
3d4e8339db,र आफ्ना पूर्वजहरू,17
8f48034604,बढी कम्पनीमा साढे,17
ee5d39b396,कोलकातामा अवस्थित,17
00809f5567,यसको बावजुद समयको,17
3d55605c6d,रूपले अधिकार थियो,17
e614895810,अमिताभले यी घटिया,17
006013dfa2,र तिनको उपलब्धिका,17
3c4a7662f4,यहाँ एक सानो कोठा,17
463499d91e,मानिसहरूको घुइँचो,17
ee63296460,निरमा विज्ञान एवं,17
fcbe74c9d0,नेवार दनुवार दमाई,17
9007ceb01a,मान्छे बन्न आँटिस,17
143ed79689,यस नदीको सम्पूर्ण,17
90104d3797,जङ्ग सेन्दाङ हुन्,17
f1c378948b,भने निरङ्कुश एवम्,17
e60e6c8bc8,मलाई पनि थाहा छैन,17
0bbafeb514,तोरण टुँडाल झ्याल,17
1459c2c50f,जुन ईसाको जन्मबाट,17
fd13926466,सजिलै गर्न सकिन्छ,17
fcbfb0ab09,विद्यालय तहबाट नै,17
0e25324b6e,नगर छाडेर बनौधिया,17
8f1abfc11c,बाटो उकालो गाह्रो,17
144f28cdec,पेजमा प्रवेश गर्न,17
0dd0d744f7,नाकमा प्रवेश गर्छ,17
e512be8627,यदि तिनलाई शरीरमा,17
0082097f7d,मानिस हाम्रा लागि,17
9eb8fcdfc9,एउटा स्मृति पार्क,17
1444f31993,गर्दा उनी नेपालमा,17
0e223b5041,खेलहरू जस्तै पौडी,17
9dcb1f4ce4,टीका लगाउने चलन छ,17
8f2483bfa6,फिलिपका नेतृत्वमा,17
ee54a2eae5,वन्स अपन अ टाइममा,17
9cdc039cb6,दिनु राम्रो हुन्छ,17
459cd164f6,खेलेर बितेको थियो,17
3c5a368990,जन धातुमा प्रत्यय,17
13960ce99c,राम्रो हृदय हुन्छ,17
3c52aa168e,वर्गले लेखेका लेख,17
9e96c07b1c,समर्थन गरेका कारण,17
14409e7fbd,सञ्चालन हुन सक्यो,17
3d4ed28c2f,रहेको अफगानिस्तान,17
9ce632dcfe,यस्तो उद्योग जसले,17
9eb55c4137,यस जिल्लामा बग्ने,17
e61e439346,गुरुको रूपमा हामी,17
145e2aa561,लस्‍सी खाना रनबास,17
0dcd2c1638,यसै कडीको भाग थिए,17
f195e606ff,स्थिति भइहाले पनि,17
9e955c7648,सक्ने एक अध्ययनले,17
9cd655069c,उनीहरूको घर मेवाड,17
9e87b7f57a,हुन सक्ने जानकारी,17
9cf949196b,भन्ने लाग्दैनथ्यो,17
e50c4aeec5,यो गाउँबाटै जान्छ,17
e51b79d439,ओपनर सुवास खकुरेल,17
46382daf8a,शाहको समयमा पोखरा,17
8f96e9f52c,राख्नु हुनेछ साथै,17
8fcb30b463,मैले त्यस पृष्ठमा,17
e58f961f18,राजाले यस्ता कुरा,17
e52b2df67a,भर्ना गरिएको थियो,17
0e1a5b0efd,प्रहरी चौकी हुलाक,17
9db75e466f,निबन्ध पनि गतिशील,17
3ccfeb5fad,दृष्टिले पनि निकै,17
13a5b44c45,लागि प्रेरित गर्छ,17
14505abc12,एक पटक देवताहरूले,17
f025d564eb,नदीहरू निस्कन्छन्,17
3ccc241d00,गणना गर्दा भरणीको,17
026a29f93b,दिवसका अवसरमा किम,17
145de5830f,शेष रूपैयाँ सडकको,17
e5cc6546a6,स्कुल भनेको सिरिप,17
e628560e09,तथा नयाँ परिवर्तन,17
ee30956e7a,पश्चात यस स्थानमा,17
e51d804aa7,स्तनधारी जनावर हो,17
fd12ec3e0d,जातिको परिभाषा हो,17
145d4664b4,व्यक्तिगत स्कोरमा,17
4599e35371,बाल पुरस्कार शिशु,17
ff88924bd1,बाहिर ल्याई एकदिन,17
ff6c7e6baf,यसैगरी चैत्यहरूमा,17
e511d6d3a9,हावाको गलत दिशाले,17
9e6f60859f,नदेखिएको हुन सक्छ,17
f1a7ae857c,बेक्ह्याम दुई पटक,17
ff6ef21fe8,ब्रिस्बेन आएर बसे,17
3d1590388e,गर्न सके पर्यटकीय,17
fcfe933967,उमेरका गोल्फर बने,17
8fcc60b4ac,फन्ड बैङक र नेपाल,17
e5d3450432,यस्ता अधिकारहरूको,17
9d63a14e00,पुगेका बेला कुमार,17
3d61df32a9,पकाउन प्रयोग हुने,17
f01522a73d,यसले एउटै लेन्सको,17
471fe2a914,फलफुल बजारका लागि,17
f0223960d0,कसैको प्राण बचाउन,17
145c325b6a,नेवार दनुवार दमाई,17
f1b1b83cc4,टिचीले आरोहण दलको,17
a136fe85f5,तरिका अपनाउनुहोला,17
8f25013a66,समर्थन अथवा विरोध,17
9005b67aee,केपी जायसवाल भारत,17
9e7e674610,चाखुरा तिर्था आदि,17
