path,labels,total,n_samples,sampling_rate,duration
nep_0546_1535070415,दामोदर कुण्ड नेपालको पश्चिमाञ्चल विकास क्षेत्रको धौलागिरी अञ्चलको मुस्ताङ जिल्लामा अवस्थित हिन्दु धर्मावलम्बीहरूको निकै महत्त्वपूर्ण मानिने कुण्ड हो,148,230688,22050,10
nep_2099_2296423149,ब्राजिलको गाउँमा बस्नेमारिया आफ्नो भाग्य खोज्दै स्विट्जरल्यान्ड पुग्छे तर वास्तविकता सोचेभन्दा फरक भएपछि जेनेभामा वेश्यावृत्तिमा लाग्न पुग्छे,141,238618,22050,10
nep_0546_0685084826,बर्दिया राष्ट्रिय निकुन्ज पूर्वमा चेपाङ नदी पश्चिममा कर्णाली नदी उत्तरमा बबई नदी र दक्षिणमा पूर्व पश्चिममा महेन्द्र राजमार्गसँग जोडिएको छ,137,230746,22050,10
nep_3960_6138806624,काठमाडौँका बासिन्दा इन्द्रजात्राको रमाइलोमा रमिरहेका बेला ललितपुर प्याङ गाउँका स्थानीय बासिन्दा आफ्नै मौलिकलाई जात्रामा हराउने गर्दछन्,134,229129,22050,10
nep_0546_3782097543,कपिलवस्तु जिल्लाको उत्तरी क्षेत्रमा महेन्द्र राजमार्ग तथा सन्धिखर्क सडकमा रहेको गोरुसिङे बजार यस क्षेत्रको प्रमुख व्यापारिक केन्द्र हो,134,232283,22050,10
nep_0546_0356947146,उत्तरमा सोलुखुम्बु जिल्ला दक्षिणमा उदयपुर र सिन्धुली जिल्लासँग जोडिएको यस जिल्लालाई पश्चिममा रामेछाप जिल्लासँग लिखू नदीले छुट्याएको छ,133,216899,22050,9
nep_0649_1734113982,एकान्तमा बस्न डुल्न मन पराउने जापानी इजरायली जर्मन रुसी पर्यटकहरू स्थानीय बासिन्दाका घर भञ्ज्याङका होटलमा क्याम्पसाइटमा पाल टाँग्छन्,132,224602,22050,10
nep_2099_2910899168,अर्जेन्टिनाको राजधानी सहर ब्युनर्स आयर्समा जन्मिएका जर्जमारियोलाई सन् उन्नाइस सय उनान्सत्तरीमा पुजारीको रूपमा नियुक्त गरिएको थियो,129,236244,22050,10
24efa9f33c,तृतीय श्रेणीबाट शिक्षा लिने स्थानीय र अन्तर्राष्ट्रिय विद्यार्थीहरूको अनुपात अोइसिडीका देशहरूमध्ये सबभन्दा धेरै अस्ट्रेलियाको छ।,128,200655,22050,9
nep_0546_2756840944,शक्ति संगमतन्त्र तथा वराह पुराणमा गोकर्णेश्वर जलेश्वरको महात्म्यको वर्ण गरिएकोले यहाँको गोकर्ण निकै प्राचीन तीर्थ रहेको बुझिन्छ,127,241705,22050,10
nep_0546_8279731068,संवत दुई हजार तेह्र तिर भएको पहिलो नगर निर्वाचनबाट प्रमुखमा यज्ञराज पन्त र उपप्रमुखमा रत्नभक्त श्रेष्ठ निर्वाचित हुनु भएको थियो,127,210144,22050,9
nep_2099_9426216742,उत्तर अमेरिकामा प्रति वर्ष लगभग तीन सय पच्चिस बच्चाहरू प्रभावित हुन्छन् समयमै थाहा पाएमा पन्चानब्बे प्रतिशतको उपचार गर्न सकिन्छ,127,233775,22050,10
nep_2099_4281336848,कालोलाई अन्धकारको रूपमा लिनुहुन्छ यसभित्रका खुङ्खार निसाचरहरूलाई उनीहरूका हिंस्रक मान्यतालाई प्रकाशमा ल्याउन खोजेको पाउनुहुनेछ,126,235656,22050,10
nep_2099_5327754802,वैश्विक शान्ति सूचकाङ्क सर्वेक्षणमा आइसल्यान्ड पछि विश्वको दोस्रो शान्तिपूर्ण देश र संसारको सबै भन्दा कम भ्रष्ट देशमा सामेल छ,125,213312,22050,9
nep_0546_3988642046,हुउँदमा बसाई सरी आउने पर्यटक चराहरूले बीसहजारी ताल जगदीशपुर ताल तथा घोडाघोडी ताल लगायतका क्षेत्रमा आफ्ना हिउँदे बास बिसाउँछन्,125,224389,22050,10
nep_2099_5641131819,मूल जात्रामा खटलाई स्थानीय बासिन्दाका घरघरसम्म पुर्‍याइन्छ महादेवबाट आफ्ना भक्तजनलाई दर्शन दिन्छन् महत्त्वपूर्ण पर्व मानिन्छ,124,216715,22050,9
nep_0546_0973996646,मायादेवी गर्भिणी अवस्थामा माइत अर्थात् रामग्राम जान लाग्दा ईसापूर्व छ सय तेहिसमा लुम्बिनीमा सिद्धार्थ गौतमको जन्म भएको थियो,123,219942,22050,9
nep_2099_8593400504,तन्त्र विभिन्न रूपमा भारत नेपाल चीन जापान तिब्बत कोरिया कम्बोडिया म्या म्यान्मार इन्डोनेसिया मङ्गोलियामा विद्यमान रहेको छ,121,231356,22050,10
nep_2099_9346248354,त्यही क्रममा अन्य जात्रामा जस्तै यस जात्रामा परापूर्वकालबाटै स्थानीयवासीले समष्टिको भलाइका निमित्त पूजा प्रार्थना गर्दछन्,121,234715,22050,10
nep_2099_9621989525,नदीको किनारमा रहेका जलविद्युत परियोजनाहरू यस प्रकार छन् कालीगण्डकी जलविद्युत परियोजना नेपालको ठुला परियोजनाहरूमध्ये पर्दछ,121,228056,22050,10
nep_6834_8313324263,भेनिस फिल्म फेस्टिभलमा उनको नाम द स्टोरी अफ क्यु जुमा क्यु जुको मूल पात्रको अभिनयको सर्वोत्तम अभिनेत्रीका लागि मनोनयन भयो,121,239434,22050,10
nep_6834_2888009334,नेपालगंज मेडिकल कलेज शिक्षण अस्पतालमा अध्ययनरत विद्यार्थीहरूका लागि आवश्यक पर्ने धेरै जसो उपकरणहरू निःशुल्क दिनुपर्ने हो,120,229644,22050,10
nep_6834_7367961655,बुचारेस्टमा रोमानियाली प्रहरीले स्वास्थ्य सेवाको नामबाट ठगी कार्यमा लागेका बाइस व्यक्तिलाई पक्राउ गरेको समाचार जनाइएको छ,120,223786,22050,10
nep_2099_8964140213,किच्चकबध उत्खनन्को प्रसङ्गलाई आधार बनाइ कृष्ण धरावासीद्वारा किच्चकबधको सेरोफेरोमा लेखिएको उपन्यास मदन पुरस्कार पाइसकेको,119,202919,22050,9
nep_2099_2672412961,स्थायी हिमरेखामाथि अनवरत हिउँका प्रक्रिया यस क्षेत्रको तल्लो सीमान्त भूभागमा अस्थायी हिउँका प्रक्रिया केन्द्रित रहन्छन्,119,194790,22050,8
nep_2099_7770544995,तल्लो बङ्गारा झरेको शरीरभर सियोले घोचेको पीडा भएको राजदरबारको कौसीमा भएका तीनवटा परेवामध्ये एउटालाई चिलले च्यापेर लग्यो,119,225116,22050,10
nep_2099_4449358732,अन्नपूर्ण प्रथम यसै जिल्लाको उत्तरपश्चिम सिमानामा पर्छ मनमोहक कुमारी चुचुरा माछापुच्छ्रे हिमाल जिल्लाको मध्यभागमा पर्दछ,119,210078,22050,9
nep_3960_0104345541,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,118,191394,22050,8
nep_2099_8053716497,जब अप्रिल उन्नाइस सय उनान्चालिसमा इटलीले अल्बानियामा विजय प्राप्त गर्‍यो यही आश्वस रोमानिया र ग्रीसको पनि प्रदान गरियो,118,224572,22050,10
nep_0546_2770740893,यस जिल्लालाई त्रिचालिस गाविस एउटा उपमहानगरपालिका एउटा नगरपालिका तेह्रवटा इलाका चारवटा निर्वाचन क्षेत्रमा विभाजन गरियो,117,193739,22050,8
nep_0546_9624031563,राजेशपायल राई उदय सोताङ सङ्गीता राना रिमा गुरुङ होडा स्वरूपराज आचार्य अन्जु पन्त तथा दीपक लिम्बु सबै राम्रा गायक हुन्,117,195363,22050,8
nep_3960_4581585583,स्याङ्जा वालिङ्बजार घर भएकी अठार वर्षीया विन्दु आचार्यले श्रीमान् अमृत आचार्यको कुटाइ बाट मानसिक सन्तुलन गुमाएकी हुन्,117,217134,22050,9
nep_0546_5685379320,सन् उन्नाइस सय उन्नाइसमा पूर्व प्रधानमन्त्री जोसेफ कुकले वार्सेल्स शान्ति सम्मेलनमा भाग लिनका लागि पेरिसको यात्रा गरे,117,212224,22050,9
nep_2099_7146853781,ट्रेग भीले दुई फेब्रुअरी उन्नाइस सय छयालिस देखि दस नोभेम्बर उन्नाइस सय बाउन्न सम्म संयुक्त राष्ट्र सङ्घका महासचिव थिए,117,207123,22050,9
nep_2099_3532073204,आलु आजकल उत्तरी युरोपको लागि सर्वाधिक उपयुक्त फसल त्यसबेला अमेरिकामा सीमित युरोपेलीहरूलाई त्यतिबेला यसको जानकारी थिएन,117,205668,22050,9
nep_2099_1045072190,दुई हजार छयालिसदेखि राजनीतिमा संलग्न रहँदै आउनुभएकी किरण यादव प्रजातान्त्रिक आन्दोलनमा विभिन्न समयमा पक्राउ पर्नुभयो,116,238618,22050,10
nep_6329_8801982253,दशकअघि तुलसा सिलवाल सुमी खड्का किरण डिसी नीलु रायमाझी लगायतले चर्चामा आउनकै लागि अंगप्रदर्शनलाई प्राथमिकता दिएका थिए,116,211820,22050,9
nep_0546_8122250189,पछि लोकगायक धर्मराज थापाको सहयोगले उनले इस्वी संवत उन्नाइस सय पैसट्ठी देखि रेडियो नेपालमा गायकको रूपमा सेवा सुरु गरे,116,197877,22050,8
nep_3960_9730173161,यसको उत्तरतर्फ पूर्वपश्चिम राजमार्ग दक्षिणतर्फ धनगढी नगरपालिका पूर्वतर्फ खैराना नदी तथा पश्चिमतर्फ गोदावरी नदी पर्दछ,116,231819,22050,10
nep_0546_3134436030,अरनिको राजमार्ग खुल्नु पूर्व नगरकोट काठमाडौँ उपत्यकाका पूर्वी जिल्लाहरूका लागि एउटा प्रसिद्ध नाकाको रूपमा रहेको थियो,116,190814,22050,8
nep_0283_5326639197,गाईघाटमा अवस्थित त्रियोग उच्च माध्यमिक विद्यालयले शिक्षा क्षेत्रमा गरेको योगदानको कदर गर्दे कार्यक्रमको आयोजना गरियो,116,225998,22050,10
nep_0546_5439122478,पर्यटन वाणिज्य शिक्षा स्वास्थ्यसम्बन्धी सुविधाले सम्पन्न पोखरा नेपाल अधिराज्यकै सुन्दर सफा नगरको रूपमा पहिचान राख्दछ,116,183581,22050,8
nep_2099_4461704085,सात सय अन्ठानब्बेमा निर्माण पुरा भएको दरबार निर्माणको तीन सय वर्षपछि तत्कालीन नेपाल उपत्यकामा भयानक भूकम्पले भत्कियो,116,200986,22050,9
nep_0546_3076577201,ती दुई नेताले कियभमा तयार पारिएको एक शान्ति प्रस्तावलाई मस्को लैजाँदैछन् तर त्यसको विवरणहरु भने सार्वजनिक गरिएको छैन,116,221816,22050,10
nep_2099_4459809718,अफगानिस्तान विजयी उपाधिसँगै पचास हजार अमेरिकी डलर भारत पच्चिस नेपाल र माल्दिभ्सलाई दस हजार अमेरिकी डलर प्रदान गरियो,115,208042,22050,9
nep_2099_8366380846,आजा पनि टारकेरावारीको रातमाटे जङ्गलमा किराँतहरूको चिहान यद्दावधि पाइने दाबी स्थानीय श्रोतव्यक्ति दीर्धराज पौडेलको छ,115,231753,22050,10
nep_0546_6565054275,त्यही मुद्दाको तारेख खेप्न उनी काठमाडौँ आएर आफ्नै गाउँका कप्तान तेजबहादुर कार्कीको घरमा पाहुना बनेर केही दिन बसेछन्,115,169778,22050,7
nep_2099_2156203541,पहाडी जिल्लाहरू इलाम पाँचथर र ताप्लेजुङ तेह्रथुम सङ्खुवासभामा विभाजन गरिनु अघि पल्लो किराँतलाई लिम्बुवान भनिन्थ्यो,114,206668,22050,9
nep_0546_0029201705,बिरेन्द्र जोहारीलको विशेष सूचनाका आधारमा बाघको अठार किलो हड्डी र छाला सहित चारजनालाई पक्राउ गरिएको जानकारी दिनुभयो,114,190365,22050,8
